########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	45593
file                           	BS-011_S_BOB_008.0A_210203_094209.dat
date                           	03/02/2021
hour                           	09:42:09
operator                       	Lucas Balthazar
software_version               	v3.6
bench                          	2
temperature(C)                 	23.71
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+8.014000e+00
main_coil_current_std(A)       	+4.588315e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_2021-01-28_r=13mm_b2_CALIBRATED
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	246528
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.0129575
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	Ciclagem bipolar + ciclagem monopolar senoidal amortecida (NEGATIVA) + Rampa, F1000A, fator de correção 1,5%



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +8.949071e-06   	  +3.287754e-07   	  -1.067941e-06   	  +1.323835e-07   	  +9.012567e-06   	  +3.268357e-07   	  -1.187737e-01   	  +1.521235e-02   	  +4.631285e-02   	  +1.701516e-03   	  -5.526791e-03   	  +6.851095e-04   
2   	  +4.245828e-04   	  +1.584067e-05   	  -7.281427e-05   	  +1.138370e-05   	  +4.307813e-04   	  +1.573087e-05   	  -8.492190e-02   	  +1.338842e-02   	  +2.636762e-02   	  +9.837647e-04   	  -4.521878e-03   	  +7.069525e-04   
3   	  +1.341876e+00   	  +3.630804e-04   	  -5.044615e-02   	  +1.175603e-03   	  +1.342824e+00   	  +3.655022e-04   	  -1.252535e-02   	  +2.916372e-04   	  +1.000000e+00   	  +3.826532e-04   	  -3.759381e-02   	  +8.761482e-04   
4   	  -3.447880e-01   	  +8.767953e-02   	  +1.193921e-01   	  +4.675888e-02   	  +3.648742e-01   	  +8.425367e-02   	  -8.333851e-02   	  +3.609613e-02   	  -3.083436e-03   	  +7.840924e-04   	  +1.067684e-03   	  +4.181509e-04   
5   	  -6.937135e+00   	  +3.626053e+00   	  +2.683993e+00   	  +3.747329e+00   	  +7.438257e+00   	  +3.642072e+00   	  -7.383289e-02   	  +1.003397e-01   	  -7.443604e-04   	  +3.891206e-04   	  +2.880526e-04   	  +4.021349e-04   
6   	  -1.241684e+02   	  +2.042199e+02   	  -4.621552e+02   	  +3.429756e+02   	  +4.785449e+02   	  +3.354407e+02   	  +2.180537e-01   	  +7.535814e-02   	  -1.598844e-04   	  +2.629840e-04   	  -5.951996e-04   	  +4.416665e-04   
7   	  +5.052295e+03   	  +1.526216e+04   	  -5.073910e+03   	  +7.608148e+03   	  +7.160325e+03   	  +1.204305e+04   	  -1.125047e-01   	  +2.408917e-01   	  +7.804556e-05   	  +2.358460e-04   	  -7.838619e-05   	  +1.175686e-04   
8   	  +5.601070e+05   	  +5.640104e+05   	  +3.431723e+05   	  +1.070283e+06   	  +6.568768e+05   	  +7.375178e+05   	  +6.871233e-02   	  +1.824925e-01   	  +1.038625e-04   	  +1.045878e-04   	  +6.364966e-05   	  +1.984689e-04   
9   	  -9.648979e+08   	  +3.418026e+07   	  +2.309225e+06   	  +7.666731e+07   	  +9.649007e+08   	  +3.418066e+07   	  -2.659142e-04   	  +8.828442e-03   	  -2.147114e-03   	  +7.606118e-05   	  +5.140209e-06   	  +1.706024e-04   
10  	  +2.016624e+09   	  +5.812500e+09   	  +2.742603e+08   	  +3.271098e+09   	  +2.035188e+09   	  +5.776325e+09   	  +1.351704e-02   	  +1.638454e-01   	  +5.383270e-05   	  +1.552098e-04   	  +7.327827e-06   	  +8.734735e-05   
11  	  -2.173796e+10   	  +2.756445e+11   	  +1.078846e+11   	  +3.627625e+11   	  +1.100528e+11   	  +3.597592e+11   	  -1.247242e-01   	  +2.309245e-01   	  -6.968385e-06   	  +8.832565e-05   	  +3.455955e-05   	  +1.162411e-04   
12  	  -1.038984e+13   	  +3.233520e+13   	  +2.384750e+13   	  +2.086367e+13   	  +2.601254e+13   	  +2.307924e+13   	  -9.665967e-02   	  +9.864780e-02   	  -3.994724e-05   	  +1.243352e-04   	  +9.170453e-05   	  +8.022494e-05   
13  	  +3.609783e+13   	  +1.189627e+15   	  -7.531265e+14   	  +2.780953e+15   	  +7.539911e+14   	  +2.778348e+15   	  -1.171463e-01   	  +1.219866e-01   	  +1.666506e-06   	  +5.489222e-05   	  -3.474729e-05   	  +1.283198e-04   
14  	  -9.935302e+16   	  +2.549332e+17   	  +4.336912e+16   	  +1.549928e+17   	  +1.084062e+17   	  +2.417313e+17   	  -2.939884e-02   	  +1.152217e-01   	  -5.500199e-05   	  +1.411587e-04   	  +2.400765e-05   	  +8.582086e-05   
15  	  -8.791545e+17   	  +1.564608e+19   	  -1.053654e+19   	  +1.862871e+19   	  +1.057315e+19   	  +1.860973e+19   	  +9.917003e-02   	  +9.879518e-02   	  -5.850247e-06   	  +1.039604e-04   	  -7.001034e-05   	  +1.237785e-04   

magnetic_center_x(um) 	-158.205
magnetic_center_y(um) 	27.132


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
2.08155588836697e-07	2.09777179449604e-07	2.1027251577266698e-07	2.095425081449935e-07	2.110397712584745e-07	2.151416968843e-07	2.175284573268755e-07	2.180243535576255e-07	2.22326684138346e-07	2.186885300403445e-07
-5.469584984929665e-09	-7.251463167712625e-09	-8.20922549049631e-09	-7.173731797482825e-09	-1.2851407782401499e-08	-7.850071837012225e-09	-8.8710144918732e-09	-9.023648823714265e-09	-1.175508230755125e-08	-1.027561813416115e-08
-2.212917367927225e-07	-2.1968165228257652e-07	-2.189731031165985e-07	-2.1943280131610298e-07	-2.22567304462057e-07	-2.169775501670105e-07	-2.1220344137869948e-07	-2.1514924164023948e-07	-2.12938404189334e-07	-2.112668418163965e-07
-4.2008999457721047e-07	-4.1792404772423846e-07	-4.204027310094705e-07	-4.18999322420176e-07	-4.26466895078197e-07	-4.1827060258012345e-07	-4.219711443909325e-07	-4.198050575609895e-07	-4.22006530556022e-07	-4.234587350993225e-07
-6.11785473552107e-07	-6.099581588614755e-07	-6.058478766135545e-07	-6.066720047215214e-07	-6.11088892412717e-07	-6.04912550841136e-07	-6.012578094782764e-07	-6.028045544325865e-07	-5.984529519764934e-07	-5.992971807700495e-07
-7.6641730402114e-07	-7.652830430515295e-07	-7.686777072990965e-07	-7.63243243397917e-07	-7.720961676227699e-07	-7.661783354251155e-07	-7.660215612759076e-07	-7.6899534292347e-07	-7.70743150724222e-07	-7.706233864724155e-07
-9.2072847536427e-07	-9.193600610047235e-07	-9.18038790871398e-07	-9.154586803106655e-07	-9.20447457701858e-07	-9.152734628515094e-07	-9.107879864700355e-07	-9.11765473290438e-07	-9.10937257856415e-07	-9.078568697872965e-07
-1.0182164083975802e-06	-1.0200979221508748e-06	-1.021585708826985e-06	-1.01697430920964e-06	-1.0258043892004302e-06	-1.01907385101184e-06	-1.0205860496629849e-06	-1.02011326362142e-06	-1.024250645400525e-06	-1.02459812410367e-06
-1.1135331874357e-06	-1.1112318549067301e-06	-1.107947324499285e-06	-1.10713232288636e-06	-1.11014025890214e-06	-1.10433961538105e-06	-1.09993056639698e-06	-1.10301117842939e-06	-1.10047670034436e-06	-1.100515110010585e-06
-1.1540892040783452e-06	-1.156202631591025e-06	-1.153971511485335e-06	-1.1538168649851798e-06	-1.15897462251231e-06	-1.1572656723047598e-06	-1.1567708259008e-06	-1.159112919708635e-06	-1.1604309423774349e-06	-1.16201615298931e-06
-1.16914388968369e-06	-1.169294392866055e-06	-1.16257606066449e-06	-1.1603560267308449e-06	-1.1630322734388348e-06	-1.1627202928817848e-06	-1.159138563480345e-06	-1.1584882867053498e-06	-1.156476874371035e-06	-1.1600558042350249e-06
-1.149921027376455e-06	-1.150826174125805e-06	-1.1471747922085751e-06	-1.14957108507996e-06	-1.149313079622085e-06	-1.15084610683895e-06	-1.14645273527051e-06	-1.1497905688879451e-06	-1.1556188718482998e-06	-1.1537507958796899e-06
-1.0925301546653349e-06	-1.091282008473745e-06	-1.0909391210132e-06	-1.087554367131555e-06	-1.0861074537160049e-06	-1.08531227283453e-06	-1.0813015421722151e-06	-1.079481170336725e-06	-1.0822330045814748e-06	-1.0794207003071199e-06
-1.001452548621295e-06	-1.00343966096227e-06	-1.00346205726975e-06	-1.0074821943816399e-06	-1.006680518571705e-06	-1.0066632734153002e-06	-1.00310170068941e-06	-1.00646405826456e-06	-1.0092401925016651e-06	-1.010575236364465e-06
-8.903501245072265e-07	-8.874501946820229e-07	-8.85212299692749e-07	-8.835620837999105e-07	-8.804738570233709e-07	-8.833495428461804e-07	-8.772596510198175e-07	-8.767342336568566e-07	-8.778529291930245e-07	-8.74330494013983e-07
-7.40669053698207e-07	-7.38019178641073e-07	-7.371508178266209e-07	-7.40346154941556e-07	-7.43496419488574e-07	-7.415534278720934e-07	-7.36786261938924e-07	-7.411882000952115e-07	-7.45329781182166e-07	-7.482932045377159e-07
-5.784143041864386e-07	-5.77001937074349e-07	-5.734499947607346e-07	-5.761616276345035e-07	-5.709374090656555e-07	-5.734531862345109e-07	-5.678705147715769e-07	-5.67245209879304e-07	-5.695100924185595e-07	-5.67811780456373e-07
-3.8601994845065497e-07	-3.8408849093230997e-07	-3.830950467431235e-07	-3.862934913457115e-07	-3.903732026344345e-07	-3.8889535431962103e-07	-3.82189732022216e-07	-3.85354694145673e-07	-3.89314865145684e-07	-3.8884935790404995e-07
-1.94868237812762e-07	-1.9092325430849e-07	-1.86511867710206e-07	-1.946508536576675e-07	-1.8827605281045797e-07	-1.887944993228045e-07	-1.864447487776305e-07	-1.86704559936816e-07	-1.855202852141625e-07	-1.8422393097241599e-07
2.2768351684023e-08	2.505934866726045e-08	2.6487947852873052e-08	2.150665747713675e-08	2.13959532313652e-08	1.809265016916145e-08	2.23400520571463e-08	2.141469089167435e-08	1.700731813159075e-08	1.640745579400635e-08
2.229263172637315e-07	2.28355951961086e-07	2.3084111617773098e-07	2.271240430929115e-07	2.307986051875165e-07	2.31310920710779e-07	2.3112491938094002e-07	2.3549887615100799e-07	2.3617093333425897e-07	2.337108529815385e-07
4.429757169077815e-07	4.447689332209445e-07	4.487083316461815e-07	4.41901981957934e-07	4.4299651747793e-07	4.39136234007231e-07	4.398342989020605e-07	4.40865564854706e-07	4.3881120760142847e-07	4.399570586599235e-07
6.45624165827063e-07	6.51061093321888e-07	6.518015712231705e-07	6.50475485883855e-07	6.546695303199584e-07	6.526964156705675e-07	6.56778646543882e-07	6.56598748207654e-07	6.572621828127025e-07	6.581402300298836e-07
8.442836644916945e-07	8.462333190095715e-07	8.465243030286545e-07	8.40185364268098e-07	8.419170467277205e-07	8.384739504663115e-07	8.459399833782425e-07	8.39955634148712e-07	8.39475289353668e-07	8.35610750584666e-07
1.024876286237095e-06	1.03154960186228e-06	1.0322988703138149e-06	1.0282987778967649e-06	1.033112416166675e-06	1.035123380575195e-06	1.042068251422665e-06	1.03773019873177e-06	1.034719687140945e-06	1.0399899861109949e-06
1.1901287814450749e-06	1.190039980088005e-06	1.18853304456963e-06	1.185548512694615e-06	1.187495647627605e-06	1.18296879406883e-06	1.1901767095425699e-06	1.183098804631545e-06	1.180527484621065e-06	1.18357483813734e-06
1.321266661875225e-06	1.327341772139715e-06	1.332130326545405e-06	1.3268981012974798e-06	1.327312432976995e-06	1.3292051448840298e-06	1.331421595409345e-06	1.332627524562005e-06	1.3293063761924999e-06	1.331086882600715e-06
