########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	45719
file                           	BS-011_S_BOB_006.0A_210203_121604.dat
date                           	03/02/2021
hour                           	12:16:04
operator                       	Lucas Balthazar
software_version               	v3.6
bench                          	2
temperature(C)                 	23.75
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+6.014400e+00
main_coil_current_std(A)       	+5.026247e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_2021-01-28_r=13mm_b2_CALIBRATED
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	246528
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.0129575
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	Ciclagem bipolar + ciclagem monopolar senoidal amortecida (POSITIVA) + Rampa, F1000A, fator de correção 1,5%



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +6.980414e-06   	  +2.211059e-07   	  -2.114092e-06   	  +1.009941e-07   	  +7.293530e-06   	  +2.136289e-07   	  -2.940791e-01   	  +1.590113e-02   	  +4.611600e-02   	  +1.460829e-03   	  -1.396658e-02   	  +6.672331e-04   
2   	  +3.010560e-04   	  +6.917851e-06   	  -5.882704e-05   	  +1.031743e-05   	  +3.067496e-04   	  +7.071887e-06   	  -9.648541e-02   	  +1.664626e-02   	  +2.386698e-02   	  +5.485040e-04   	  -4.663862e-03   	  +8.179410e-04   
3   	  +1.051162e+00   	  +3.991287e-04   	  -3.843451e-02   	  +3.306072e-04   	  +1.051864e+00   	  +3.990450e-04   	  -1.218252e-02   	  +1.048007e-04   	  +1.000000e+00   	  +5.369804e-04   	  -3.656382e-02   	  +3.148224e-04   
4   	  -2.571312e-01   	  +4.135905e-02   	  +8.815044e-02   	  +5.850693e-02   	  +2.718216e-01   	  +4.348183e-02   	  -8.256666e-02   	  +5.237537e-02   	  -2.935478e-03   	  +4.721539e-04   	  +1.006442e-03   	  +6.679119e-04   
5   	  -2.982847e-01   	  +3.265100e+00   	  +9.706134e-01   	  +3.474683e+00   	  +1.015413e+00   	  +3.457098e+00   	  -2.545283e-01   	  +6.467737e-01   	  -4.083927e-05   	  +4.472904e-04   	  +1.329549e-04   	  +4.760014e-04   
6   	  +1.075754e+02   	  +1.684469e+02   	  +6.739662e+01   	  +2.260529e+02   	  +1.269439e+02   	  +1.864941e+02   	  +9.328026e-02   	  +2.775635e-01   	  +1.768297e-04   	  +2.769092e-04   	  +1.107536e-04   	  +3.716073e-04   
7   	  -1.798593e+02   	  +2.273176e+04   	  -8.236582e+03   	  +5.159615e+03   	  +8.238545e+03   	  +5.182202e+03   	  +2.212804e-01   	  +3.940818e-01   	  -3.632260e-06   	  +4.484238e-04   	  -1.624925e-04   	  +1.017825e-04   
8   	  +2.113421e+05   	  +5.248614e+05   	  -7.135757e+05   	  +1.709411e+06   	  +7.442149e+05   	  +1.645798e+06   	  -1.603567e-01   	  +1.174432e-01   	  +5.002985e-05   	  +1.242457e-04   	  -1.688889e-04   	  +4.046534e-04   
9   	  -6.424180e+08   	  +1.852338e+08   	  -4.467273e+07   	  +1.019344e+08   	  +6.439693e+08   	  +1.849228e+08   	  +7.714073e-03   	  +1.768502e-02   	  -1.824844e-03   	  +5.261853e-04   	  -1.268728e-04   	  +2.895601e-04   
10  	  +3.838319e+09   	  +9.734122e+09   	  +7.680597e+09   	  +1.282905e+10   	  +8.586283e+09   	  +1.227313e+10   	  +1.107355e-01   	  +1.214298e-01   	  +1.308336e-04   	  +3.318150e-04   	  +2.618268e-04   	  +4.373143e-04   
11  	  -9.272462e+10   	  +5.684253e+11   	  +1.552418e+11   	  +4.441358e+11   	  +1.808256e+11   	  +4.799467e+11   	  -9.385189e-02   	  +2.707434e-01   	  -3.796266e-05   	  +2.325166e-04   	  +6.350386e-05   	  +1.816755e-04   
12  	  +1.537478e+13   	  +1.634437e+13   	  +5.597228e+13   	  +2.595354e+13   	  +5.804550e+13   	  +2.539824e+13   	  +1.085602e-01   	  +2.468552e-02   	  +7.546397e-05   	  +8.022874e-05   	  +2.747646e-04   	  +1.273968e-04   
13  	  -4.626986e+14   	  +2.113498e+15   	  +9.394888e+14   	  +4.398340e+15   	  +1.047248e+15   	  +4.054749e+15   	  -8.562818e-02   	  +1.994244e-01   	  -2.726131e-05   	  +1.244930e-04   	  +5.534984e-05   	  +2.590787e-04   
14  	  -5.238907e+16   	  +2.802877e+17   	  +1.146598e+15   	  +1.518709e+17   	  +5.240161e+16   	  +2.802403e+17   	  -1.563051e-03   	  +2.071342e-01   	  -3.704097e-05   	  +1.981200e-04   	  +8.141793e-07   	  +1.073492e-04   
15  	  -4.083133e+19   	  +1.319707e+19   	  +6.334229e+18   	  +1.233571e+19   	  +4.131972e+19   	  +1.317747e+19   	  -1.026032e-02   	  +1.993662e-02   	  -3.463463e-04   	  +1.119395e-04   	  +5.370889e-05   	  +1.046332e-04   

magnetic_center_x(um) 	-143.202
magnetic_center_y(um) 	27.982


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
1.8668728678503648e-07	1.8853096477753e-07	1.89975008666455e-07	1.86540968911701e-07	1.886274228724315e-07	1.88773166840442e-07	1.85628389388599e-07	1.8758764632308149e-07	1.86182711985335e-07	1.8877945180403652e-07
3.9310159949397994e-09	4.634173425000365e-09	4.522334491329965e-09	4.30505925574966e-09	6.89755733640479e-09	3.24974636201065e-09	2.2043783909358348e-09	5.172943273734565e-09	7.26702991338296e-09	7.09259767583947e-09
-1.54001528400688e-07	-1.475813890294545e-07	-1.51130909742436e-07	-1.4973480794825e-07	-1.5067636269351398e-07	-1.485527588585095e-07	-1.501473339260605e-07	-1.4553499646293098e-07	-1.49211798188284e-07	-1.51874817078129e-07
-3.1898558987108303e-07	-3.1551962138112296e-07	-3.19488190996242e-07	-3.2194654963288896e-07	-3.178238374346515e-07	-3.1828996057472153e-07	-3.203948774909925e-07	-3.165265873406255e-07	-3.1721586168490703e-07	-3.185991135978635e-07
-4.56865010676237e-07	-4.54801498932543e-07	-4.534354081897695e-07	-4.534873956174535e-07	-4.534345403328645e-07	-4.539776227829465e-07	-4.53126451134249e-07	-4.515327019305905e-07	-4.54509647056555e-07	-4.53033926390893e-07
-5.873568696301875e-07	-5.868002654096909e-07	-5.929355097578146e-07	-5.895315510429585e-07	-5.875752896145325e-07	-5.88097403522219e-07	-5.92488031543367e-07	-5.89182224644013e-07	-5.876733294485365e-07	-5.85746967090025e-07
-6.962798531162439e-07	-6.96145475274122e-07	-6.97524807833368e-07	-6.963834920270195e-07	-6.936356331266305e-07	-6.947681023916819e-07	-6.959154092101434e-07	-6.93894870380491e-07	-6.949981684556605e-07	-6.963619915723115e-07
-7.83741519398991e-07	-7.847501370860815e-07	-7.883333222480789e-07	-7.851037747741775e-07	-7.846008656998006e-07	-7.857345107708764e-07	-7.856005808548451e-07	-7.840269603320514e-07	-7.85317211580187e-07	-7.817218764217164e-07
-8.439243717361764e-07	-8.45734777215094e-07	-8.447318705861745e-07	-8.458502861685975e-07	-8.425039979443205e-07	-8.428514766478595e-07	-8.473561018717955e-07	-8.455783390104785e-07	-8.456372412979294e-07	-8.439651890057906e-07
-8.899952550223569e-07	-8.92528837255206e-07	-8.947295543748315e-07	-8.899572372910794e-07	-8.908963704357104e-07	-8.934296727148144e-07	-8.935282724565055e-07	-8.916872960184885e-07	-8.89799455308094e-07	-8.908310852007065e-07
-8.876814365521244e-07	-8.901137314865425e-07	-8.88410268373675e-07	-8.88940220988881e-07	-8.841898522860261e-07	-8.86883120188016e-07	-8.86608821417651e-07	-8.854108429545995e-07	-8.884970540634855e-07	-8.863569189543719e-07
-8.853196339941405e-07	-8.868816644280495e-07	-8.875138001940644e-07	-8.878907860321765e-07	-8.894149667071535e-07	-8.878278524094185e-07	-8.859394517912385e-07	-8.875947628439104e-07	-8.861171664875659e-07	-8.845605671581815e-07
-8.218141775273849e-07	-8.314867505987089e-07	-8.298653699512585e-07	-8.250147777744005e-07	-8.222398193425319e-07	-8.27390466042766e-07	-8.26613202207275e-07	-8.277776981912941e-07	-8.23611369185106e-07	-8.231609794507255e-07
-7.676933336143015e-07	-7.715479620173815e-07	-7.73255232502363e-07	-7.738994622741021e-07	-7.73378636154135e-07	-7.756945262826715e-07	-7.738449832572995e-07	-7.71840905713369e-07	-7.719439287257085e-07	-7.682299491307069e-07
-6.68197851609835e-07	-6.69951594431951e-07	-6.678672261273596e-07	-6.665588338705396e-07	-6.67541695804619e-07	-6.660328565998915e-07	-6.65927985892244e-07	-6.683008186314255e-07	-6.656671808969189e-07	-6.653654466503835e-07
-5.6464466268839e-07	-5.65136485590722e-07	-5.669458832357635e-07	-5.662083168545125e-07	-5.656714213841649e-07	-5.67430651301456e-07	-5.675234280033795e-07	-5.66641461432488e-07	-5.62580954976976e-07	-5.5934983976161e-07
-4.254252988289135e-07	-4.236841259341835e-07	-4.22974330973597e-07	-4.25103883827702e-07	-4.21673693438173e-07	-4.241887147316215e-07	-4.2452009608950404e-07	-4.25850352740999e-07	-4.234301798078765e-07	-4.2511536193499e-07
-2.8854438937740495e-07	-2.86097956774235e-07	-2.90515040433052e-07	-2.874035214972455e-07	-2.8600142869094647e-07	-2.9203801730663e-07	-2.85926401062366e-07	-2.890879477490505e-07	-2.845657694194915e-07	-2.839900443519075e-07
-1.24582341385379e-07	-1.2522573129558752e-07	-1.266242966835175e-07	-1.282499326293695e-07	-1.277783363917625e-07	-1.2726536297695302e-07	-1.25966545141364e-07	-1.27026226408583e-07	-1.252430744358525e-07	-1.2561198360571248e-07
3.135551922995025e-08	3.00453702628534e-08	2.9489546413689497e-08	3.1663877884111797e-08	2.937137789871215e-08	2.567526110830565e-08	2.84140722506225e-08	3.356481693472635e-08	3.168877627857435e-08	3.784752975022065e-08
1.997092415706525e-07	2.0014178424782999e-07	2.011710065374475e-07	1.98688501882365e-07	2.0107843980098048e-07	1.993987727644165e-07	2.02019700594763e-07	1.98428172808505e-07	2.007083968181085e-07	2.03308664055179e-07
3.62911914777403e-07	3.6166007319588645e-07	3.558603815179235e-07	3.55737817727682e-07	3.586357038898575e-07	3.586429266988425e-07	3.57188874460234e-07	3.617770659048295e-07	3.614301191135045e-07	3.66334070491791e-07
5.253985500530835e-07	5.28111638686819e-07	5.30137272676305e-07	5.31574723652319e-07	5.312075361985326e-07	5.247273887221121e-07	5.321444857031645e-07	5.275970835328085e-07	5.299335222730245e-07	5.26822787207901e-07
6.70270349871797e-07	6.718578561048736e-07	6.67715715110232e-07	6.68496954290281e-07	6.672931527873635e-07	6.67345784108858e-07	6.690442080525425e-07	6.691738826702709e-07	6.716741503965315e-07	6.76342996541755e-07
8.243580060707485e-07	8.236207756339915e-07	8.254136560026605e-07	8.269290461270894e-07	8.273172861094934e-07	8.23132312177683e-07	8.272856513258675e-07	8.250277676325024e-07	8.279354801743779e-07	8.298435335518595e-07
9.414663918505535e-07	9.397619209039084e-07	9.418754603984805e-07	9.374651236271835e-07	9.399488180861255e-07	9.379351101302149e-07	9.38842944435714e-07	9.39267074500047e-07	9.421480234550355e-07	9.482358996137449e-07
1.056923161968795e-06	1.0571411900177e-06	1.05959604923086e-06	1.057218681239335e-06	1.056579938563165e-06	1.055038624713675e-06	1.06022751310769e-06	1.0569411909950949e-06	1.058043089301835e-06	1.0647119256641449e-06
